Date,Time,RSSI(dB),RxBt(V),Cels(V),Curr(A),Cap(mAh),Rud,Ele,Thr,Ail,S1,S2,S3,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-11-28,13:12:43.310,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-732,341,379,-450,-135,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:43.380,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,-4,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:43.480,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-732,341,379,-450,-1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:43.580,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,380,-450,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:43.680,0,0.0,0.00,0.0,1378,-2,2,-1021,9,-733,341,379,-450,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:43.780,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:43.880,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-732,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:43.990,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:44.090,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:44.190,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:44.290,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-732,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:44.390,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-732,341,379,-450,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:44.490,0,0.0,0.00,0.0,1378,-2,2,-1021,9,-733,341,379,-450,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:44.590,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,377,-450,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:44.690,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:44.790,0,0.0,0.00,0.0,1378,-2,2,-1021,9,-732,340,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:44.890,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:44.990,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-732,340,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:45.090,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:45.190,0,0.0,0.00,0.0,1378,-2,2,-1021,9,-733,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:45.290,0,0.0,0.00,0.0,1378,-2,2,-1021,9,-733,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:45.390,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,340,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:45.490,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:45.590,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:45.690,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:45.790,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,340,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:45.890,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:45.990,0,0.0,0.00,0.0,1378,-2,2,-1021,9,-733,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:46.090,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:46.190,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:46.290,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:46.390,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:46.490,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:46.590,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:46.690,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,341,379,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:46.790,0,0.0,0.00,0.0,1378,-4,2,-1021,9,-733,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:46.890,0,0.0,0.00,0.0,1378,-2,2,-1021,9,-733,341,377,-450,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:46.990,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-732,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:47.090,0,0.0,0.00,0.0,1378,-4,2,-1021,11,-733,341,377,-450,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:47.190,0,0.0,0.00,0.0,1378,-4,2,-1021,11,-733,341,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:47.290,0,0.0,0.00,0.0,1378,-2,2,-1021,9,-733,341,377,-450,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:47.390,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,340,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:47.490,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,340,377,-451,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:47.590,0,0.0,0.00,0.0,1378,-2,2,-1021,11,-733,340,377,-450,1,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
2020-11-28,13:12:47.690,0,0.0,0.00,0.0,1378,-2,2,-1021,9,-733,340,377,-450,0,0,0,0,0,0,1,0,-1,0x0000000000000000,10.0
